Name: 广东卫视, URL: http://222.70.243.41:23456/rtp/239.45.3.230:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 375 ms
Name: 重庆卫视, URL: http://116.226.59.137:4022/rtp/239.45.1.84:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 312 ms
Name: 重庆卫视, URL: http://222.68.33.45:9898/rtp/239.45.1.84:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 360 ms
Name: 重庆卫视, URL: http://222.68.33.45:9898/rtp/239.45.1.84:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 362 ms
Name: 重庆卫视, URL: http://222.70.243.41:23456/rtp/239.45.1.84:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 374 ms
Name: 江西卫视, URL: http://116.226.59.137:4022/rtp/239.45.1.122:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 304 ms
Name: 江西卫视, URL: http://222.68.33.45:9898/rtp/239.45.1.122:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 345 ms
Name: 江西卫视, URL: http://222.70.243.41:23456/rtp/239.45.1.122:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 369 ms
Name: 江西卫视, URL: http://101.81.238.167:4022/rtp/239.45.1.122:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 369 ms
Name: 江西卫视, URL: http://222.68.33.45:9898/rtp/239.45.1.122:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 374 ms
Name: 深圳卫视, URL: http://116.226.59.137:4022/rtp/239.45.3.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 303 ms
Name: 深圳卫视, URL: http://222.68.33.45:9898/rtp/239.45.3.231:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 336 ms
Name: 深圳卫视, URL: http://222.68.33.45:9898/rtp/239.45.3.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 349 ms
Name: 深圳卫视, URL: http://101.81.238.167:4022/rtp/239.45.3.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 363 ms
Name: 深圳卫视, URL: http://222.70.243.41:23456/rtp/239.45.3.231:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 371 ms
Name: 黑龙江卫视, URL: http://58.32.43.123:8888/rtp/239.45.3.232:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 51 ms
Name: 黑龙江卫视, URL: http://116.226.59.137:4022/rtp/239.45.3.232:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 292 ms
